20180112,序,持股/單位數分級,人　　數,股　　數/單位數,佔集保庫存數比例 (%)
20180112,1,1-999,"145,546","31,784,156",0.12
20180112,2,"1,000-5,000","123,851","255,784,125",0.98
20180112,3,"5,001-10,000","22,273","159,609,421",0.61
20180112,4,"10,001-15,000","8,582","104,521,203",0.40
20180112,5,"15,001-20,000","3,993","70,218,980",0.27
20180112,6,"20,001-30,000","4,339","105,614,271",0.40
20180112,7,"30,001-40,000","2,123","73,450,301",0.28
20180112,8,"40,001-50,000","1,356","61,016,912",0.23
20180112,9,"50,001-100,000","2,622","183,892,553",0.70
20180112,10,"100,001-200,000","1,497","209,417,690",0.80
20180112,11,"200,001-400,000","1,001","281,887,813",1.08
20180112,12,"400,001-600,000",411,"200,413,282",0.77
20180112,13,"600,001-800,000",243,"168,772,864",0.65
20180112,14,"800,001-1,000,000",207,"185,466,606",0.71
20180112,15,"1,000,001以上","1,420","23,838,530,281",91.93
20180112,,合　計,"319,464","25,930,380,458",100.00
20180105,序,持股/單位數分級,人　　數,股　　數/單位數,佔集保庫存數比例 (%)
20180105,1,1-999,"145,571","31,794,194",0.12
20180105,2,"1,000-5,000","125,400","258,455,605",0.99
20180105,3,"5,001-10,000","22,420","160,776,582",0.62
20180105,4,"10,001-15,000","8,587","104,568,599",0.40
20180105,5,"15,001-20,000","4,010","70,511,054",0.27
20180105,6,"20,001-30,000","4,362","106,265,579",0.40
20180105,7,"30,001-40,000","2,115","73,225,799",0.28
20180105,8,"40,001-50,000","1,356","60,949,800",0.23
20180105,9,"50,001-100,000","2,623","183,741,362",0.70
20180105,10,"100,001-200,000","1,495","209,492,760",0.80
20180105,11,"200,001-400,000",988,"279,364,197",1.07
20180105,12,"400,001-600,000",412,"201,012,634",0.77
20180105,13,"600,001-800,000",247,"171,270,338",0.66
20180105,14,"800,001-1,000,000",203,"181,245,242",0.69
20180105,15,"1,000,001以上","1,419","23,837,706,713",91.92
20180105,,合　計,"321,208","25,930,380,458",100.00
