,Stock Symbol,Period Type,Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROE % Adjusted to Book Value,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,"Inventories, Raw Materials & Components","Inventories, Work In Process","Inventories, Inventories Adjustments","Inventories, Finished Goods","Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Current Payables,Current Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date,Number of Shareholders,Number of Employees,Debt Ratio,Long Term Funds To Fixed Assets
0,ANFI,A,Mar14,18.95,2.51,2.44,1.04,1.04,-1.27,-0.02,0.10,0.00,5.23,5.10,6.29,17.04,21.01,6.44,8.00,24.27,20.63,0.00,13.36,24.34,13.39,5.47,-0.12,1.20,0.36,0.44,35.58,1.46,0.00,53.92,36.30,192.26,209.88,1.90,0.76,0.40,547.50,414.30,133.20,55.00,7.00,0.00,-2.00,73.30,2.80,-23.10,-20.40,-5.50,-8.20,47.40,-9.30,19.59,38.10,0.00,30.00,0.00,1.04,1.04,28.90,2.10,72.60,37.60,9.80,47.40,80.90,62.90,0.00,0.00,190.60,1.50,255.00,11.50,394.70,0.50,3.30,3.70,27.10,0.00,34.10,-10.90,23.30,4.00,1.70,-0.00,422.50,41.20,9.60,0.00,0.00,50.80,182.10,0.80,0.00,0.80,7.30,241.00,2.70,0.00,2.70,0.20,6.70,18.00,0.00,268.60,0.00,0.00,74.30,0.00,82.80,0.00,153.80,0.00,38.10,-16.50,-88.60,0.00,38.00,-66.00,0.00,2.90,0.00,25.90,3.00,-3.30,0.00,-2.00,0.00,-0.20,0.00,-0.30,0.00,1.50,-4.30,0.00,0.00,0.00,36.30,0.00,-25.90,10.50,4.30,-3.60,-0.60,16.38,-13.42,3.26,3.34,-852.00,170.40,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.64,0.58,3.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.64,6.72
1,ANFI,A,Mar15,24.21,3.34,3.26,1.46,1.46,-1.63,0.17,0.26,0.00,6.72,6.61,7.33,8.96,24.27,18.25,9.16,26.90,22.05,6.57,16.37,20.61,12.71,6.02,0.71,1.09,0.39,0.43,31.39,1.52,0.00,67.97,22.54,170.00,215.43,2.15,0.79,0.37,700.20,555.90,144.30,49.80,4.60,0.00,0.90,89.00,2.30,-32.40,-30.10,2.90,-11.00,61.80,-8.60,13.93,53.20,0.00,42.10,0.00,1.47,1.46,28.90,2.40,96.60,46.70,0.50,47.20,130.40,7.40,0.00,0.00,253.70,1.80,262.90,30.60,471.00,0.00,3.20,4.70,27.20,0.00,35.10,-12.50,22.60,3.10,1.40,0.40,497.10,34.30,14.40,4.10,1.40,54.20,209.60,1.10,0.00,1.10,2.80,267.70,1.50,0.00,1.50,0.30,6.20,28.00,-0.00,303.70,0.00,0.00,116.50,0.00,82.90,0.00,193.40,0.00,53.20,-51.50,-19.20,0.00,-8.20,-89.60,0.00,1.70,0.00,39.70,7.40,-2.40,0.00,0.00,0.00,-0.20,0.20,0.00,0.00,1.90,-0.50,0.00,-0.00,0.00,34.20,0.00,-30.40,3.80,9.10,-2.40,5.00,6.14,-5.50,1.33,1.36,52.71,34.46,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.76,0.78,2.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,8.62
2,ANFI,A,Mar16,19.59,2.24,2.17,0.90,0.90,-1.56,-0.24,-0.23,0.00,7.20,7.09,6.97,9.77,12.60,9.26,5.16,15.11,13.18,5.36,11.77,19.47,11.08,4.57,-1.25,0.97,0.43,0.42,21.97,1.13,0.00,122.68,11.65,201.53,312.56,1.81,0.81,0.45,564.40,454.50,109.90,43.80,4.10,0.00,-0.60,62.60,1.20,-24.70,-23.60,-1.20,-7.10,37.80,-4.90,12.95,32.90,0.00,25.80,0.00,0.90,0.90,28.80,2.10,64.60,17.40,0.30,17.70,189.70,5.30,0.00,0.00,231.20,2.60,239.00,29.60,476.00,0.00,3.00,4.60,26.00,0.00,33.70,-13.70,19.90,3.10,1.50,4.00,503.00,14.50,15.70,3.90,1.70,35.80,208.90,0.50,0.00,0.50,2.00,247.20,0.50,0.00,0.50,0.30,5.20,33.50,0.00,286.80,0.00,0.00,142.30,0.00,85.10,0.00,216.20,0.00,32.90,-60.80,9.90,0.00,-15.20,-70.90,0.00,3.10,0.00,26.30,-6.50,-0.60,0.00,0.00,0.00,-0.00,0.20,0.00,0.00,2.20,1.80,0.00,0.00,0.00,9.40,0.00,-31.30,-21.80,-29.20,-0.60,-7.00,10.86,-6.26,1.36,1.38,-40.71,-42.48,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.93,0.96,2.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,10.89
3,ANFI,A,Mar17,18.51,2.20,2.14,0.84,0.84,-1.45,0.19,0.19,0.00,8.33,8.24,7.12,5.36,10.48,16.38,4.66,13.38,12.22,6.98,12.71,17.25,12.07,4.55,1.04,0.86,0.46,0.39,17.67,1.02,0.00,138.67,10.39,204.66,332.94,1.78,0.83,0.46,551.90,456.70,95.20,23.10,1.20,0.00,4.40,66.60,0.30,-27.60,-27.30,-3.20,-6.40,36.10,-4.60,12.73,31.50,0.00,25.10,0.00,0.84,0.84,29.80,1.80,65.50,16.80,0.40,17.20,209.70,3.80,0.00,0.00,266.80,2.60,273.10,53.10,553.00,0.00,3.10,4.70,26.60,0.00,34.40,-15.70,18.70,2.80,1.40,0.20,574.60,13.00,15.80,3.00,2.30,34.10,224.40,0.50,0.00,0.50,7.50,266.60,0.00,0.00,0.00,0.30,4.50,40.70,-0.00,312.10,0.00,0.00,167.40,0.00,102.80,0.00,262.50,0.00,31.50,-21.60,-28.20,0.00,3.80,-68.60,0.00,9.50,0.00,31.70,5.80,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.40,3.40,0.00,0.00,0.00,8.90,0.00,-27.50,-18.60,-0.60,-0.10,5.70,6.38,-3.70,0.64,0.65,28.21,28.21,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.07,1.05,2.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,14.04
4,ANFI,A,TTM,18.27,2.27,2.22,0.86,0.86,-1.45,-0.18,-0.17,0.00,8.47,8.38,6.93,4.40,10.29,19.79,4.75,13.79,12.02,7.62,13.91,16.69,12.38,4.66,-0.98,0.82,0.48,0.39,17.02,1.02,0.00,122.69,6.07,211.29,327.91,1.73,0.83,0.48,569.90,474.80,95.10,21.30,0.00,0.00,3.20,70.60,0.10,-30.60,-30.40,-1.40,-6.40,38.70,-5.70,14.77,33.00,0.00,26.60,0.00,0.86,0.86,32.40,1.70,71.00,5.20,4.10,9.30,191.60,3.80,0.00,0.00,266.80,306.80,306.80,61.30,569.00,0.20,3.10,4.70,26.60,0.00,34.40,-15.70,17.90,3.00,1.50,-0.00,590.00,7.90,16.90,0.00,2.30,24.80,230.70,0.50,0.00,0.50,7.50,263.00,0.00,0.00,0.00,0.30,4.80,40.20,-0.00,308.30,0.00,0.00,179.20,0.00,111.60,0.00,281.70,0.00,33.00,0.00,0.00,0.00,0.00,-92.00,0.00,0.00,0.00,52.10,-5.30,-0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.60,3.40,0.00,0.00,0.00,18.00,0.00,-28.30,-10.30,-7.60,-0.30,-5.60,5.12,-3.03,0.52,0.53,-24.44,-25.88,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.16,1.00,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,15.74
5,ANFI,Q,Sep15,8.06,0.94,0.91,0.24,0.24,0.00,-0.07,-0.05,0.00,6.80,6.70,6.64,5.52,7.16,8.84,2.87,13.49,10.95,13.79,15.16,21.45,10.79,3.00,-0.82,0.98,0.41,0.41,20.52,0.48,0.00,132.52,27.74,248.85,353.63,0.73,0.79,1.07,231.80,182.10,49.70,11.90,0.00,0.00,12.80,25.00,0.90,-15.20,-14.30,0.20,-2.20,10.90,-1.70,15.66,9.20,0.00,7.00,0.00,0.24,0.24,28.80,1.10,27.20,20.70,9.20,29.90,168.30,0.00,0.00,0.00,0.00,233.70,233.70,16.20,448.20,0.40,0.00,0.00,0.00,0.00,0.00,0.00,20.80,3.10,1.50,-0.00,472.50,27.70,17.20,0.00,0.00,44.80,190.20,0.00,0.00,0.00,7.90,242.90,1.00,0.00,1.00,0.40,3.80,28.60,-0.00,276.70,0.00,0.00,123.40,0.00,84.50,0.00,195.80,0.00,9.20,0.00,0.00,0.00,0.00,-29.20,0.00,0.00,0.00,17.60,-1.50,-0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.50,0.00,0.00,0.00,-9.50,0.00,-13.30,-22.80,-26.00,-0.50,-1.90,0.00,,0.81,0.82,-78.86,-110.40,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.85,0.88,1.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,9.46
6,ANFI,Q,Mar16,11.54,1.30,1.26,0.66,0.66,-1.56,-0.18,-0.17,0.00,7.20,7.09,6.97,9.77,18.28,13.44,7.72,17.64,16.00,5.36,9.49,18.08,11.29,5.66,-1.54,0.97,0.43,0.42,24.66,0.68,0.00,104.10,9.72,158.36,252.74,1.15,0.82,0.71,332.60,272.40,60.10,31.90,0.00,0.00,-9.30,37.50,0.30,-9.50,-9.30,-1.40,-4.90,26.90,-3.20,11.86,23.70,0.00,18.80,0.00,0.66,0.66,28.80,1.00,37.40,17.40,0.30,17.70,189.70,5.30,0.00,0.00,231.20,2.60,239.00,29.60,476.00,0.00,3.00,4.60,26.00,0.00,33.70,-13.70,19.90,3.10,1.50,4.00,503.00,14.50,15.70,3.90,1.70,35.80,208.90,0.50,0.00,0.50,2.00,247.20,0.50,0.00,0.50,0.30,5.20,33.50,0.00,286.80,0.00,0.00,142.30,0.00,85.10,0.00,216.20,0.00,23.70,0.00,0.00,0.00,0.00,-41.70,0.00,0.00,0.00,11.90,-5.00,-0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.40,1.30,0.00,0.00,0.00,18.90,0.00,-17.90,1.00,-3.30,-0.10,-5.10,0.00,-6.26,1.36,1.38,-54.28,-57.47,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.93,0.96,3.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,10.89
7,ANFI,Q,Sep16,7.22,0.87,0.84,0.27,0.27,-0.05,0.27,0.28,0.00,7.71,7.61,6.85,8.30,6.98,6.46,3.07,11.00,10.91,5.50,13.53,19.31,12.06,3.69,3.78,0.89,0.45,0.40,16.06,0.42,0.00,168.48,18.05,259.28,409.71,0.70,0.81,1.15,210.90,170.20,40.70,6.00,0.00,0.00,9.30,25.40,0.10,-14.00,-13.90,-1.10,-2.20,10.50,-0.40,4.15,10.00,0.00,7.80,0.00,0.27,0.27,29.20,0.90,25.40,12.80,4.80,17.50,194.70,0.00,0.00,0.00,0.00,244.60,244.60,29.80,486.70,3.00,0.00,0.00,0.00,0.00,0.00,0.00,18.90,3.00,1.50,-0.00,511.60,16.80,14.30,0.00,0.00,31.10,204.20,0.00,0.00,0.00,7.00,242.30,0.10,0.00,0.10,0.30,3.20,35.60,-0.00,281.50,0.00,0.00,150.10,0.00,91.80,0.00,230.10,0.00,10.00,0.00,0.00,0.00,0.00,-19.70,0.00,0.00,0.00,16.90,8.20,-0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.90,0.00,0.00,0.00,-3.30,0.00,-14.10,-17.40,-4.60,-0.20,8.00,0.00,-166.00,1.08,1.09,30.74,29.64,1.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.01,1.00,1.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,12.18
8,ANFI,Q,Mar17,11.21,1.32,1.29,0.57,0.57,-1.45,-0.07,-0.08,0.00,8.33,8.24,7.12,5.36,14.05,21.95,6.37,16.30,14.33,6.98,12.67,15.98,12.08,5.07,-0.66,0.86,0.46,0.39,20.06,0.63,0.00,112.24,8.29,164.89,268.84,1.11,0.84,0.76,340.90,286.50,54.50,17.10,0.00,0.00,-3.80,41.20,0.10,-13.60,-13.50,-2.10,-4.20,25.60,-4.20,16.24,21.50,0.00,17.30,0.00,0.57,0.57,30.40,0.80,40.10,16.80,0.40,17.20,209.70,3.80,0.00,0.00,266.80,2.60,273.10,53.10,553.00,0.00,3.10,4.70,26.60,0.00,34.40,-15.70,18.70,2.80,1.40,0.20,574.60,13.00,15.80,3.00,2.30,34.10,224.40,0.50,0.00,0.50,7.50,266.60,0.00,0.00,0.00,0.30,4.50,40.70,-0.00,312.10,0.00,0.00,167.40,0.00,102.80,0.00,262.50,0.00,21.50,0.00,0.00,0.00,0.00,-48.90,0.00,0.00,0.00,24.20,-2.40,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.30,2.50,0.00,0.00,0.00,12.30,0.00,-13.40,-1.20,4.10,0.10,-2.20,0.00,-3.70,0.64,0.65,-76.57,-67.00,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.07,1.05,3.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.54,14.04
9,ANFI,Q,Sep17,7.07,0.95,0.93,0.29,0.29,0.00,-0.10,-0.09,0.00,8.47,8.38,6.93,6.04,6.80,9.58,3.18,11.38,9.82,0.00,14.94,17.75,12.83,4.04,-1.45,0.82,0.48,0.39,13.96,0.39,0.00,152.69,7.65,281.02,426.06,0.65,0.82,1.27,228.90,188.30,40.60,4.20,0.00,0.00,7.10,29.40,0.00,-17.00,-17.00,0.70,-2.30,13.10,-1.60,11.91,11.50,0.00,9.30,0.00,0.29,0.29,32.40,0.80,30.90,5.20,4.10,9.30,191.60,0.00,0.00,0.00,0.00,306.80,306.80,61.30,569.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,17.90,3.00,1.50,-0.00,590.00,7.90,16.90,0.00,0.00,24.80,230.70,0.00,0.00,0.00,7.50,263.00,0.00,0.00,0.00,0.30,4.80,40.20,-0.00,308.30,0.00,0.00,179.20,0.00,111.60,0.00,281.70,0.00,11.50,0.00,0.00,0.00,0.00,-43.10,0.00,0.00,0.00,27.80,-2.90,-0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.90,0.00,0.00,0.00,5.80,0.00,-14.90,-9.20,-11.70,-0.40,-3.30,0.00,,0.71,0.72,-60.40,-67.11,0.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.16,1.00,1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,15.74
