,Stock Symbol,Period Type,Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROE % Adjusted to Book Value,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,Notes Receivable,Other Current Receivables,Total Receivables,"Inventories, Raw Materials & Components","Inventories, Work In Process","Inventories, Inventories Adjustments","Inventories, Finished Goods","Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Current Payables,Current Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date,Number of Shareholders,Number of Employees,Debt Ratio,Long Term Funds To Fixed Assets,Cash Return
0,FB,A,Dec14,4.68,2.32,1.85,1.10,1.10,0.00,2.06,2.75,0.00,12.99,5.11,0.08,78.02,11.34,1.89,10.16,116.21,20.19,7.92,6.49,82.73,40.06,23.58,44.08,0.01,0.90,0.01,35.65,0.43,0.00,49.13,29.84,0.00,19.29,0.17,0.00,12466.00,2153.00,10313.00,82.73,0.00,2666.00,0.00,4994.00,40.06,-23.00,4.00,-88.00,0.00,4910.00,-1970.00,40.12,2940.00,0.00,2940.00,23.58,1.12,1.10,2664.00,1243.00,6176.00,4315.00,6884.00,11199.00,1678.00,0.00,0.00,1678.00,0.00,0.00,0.00,0.00,0.00,0.00,513.00,13390.00,0.00,153.00,1420.00,3169.00,738.00,5784.00,-1817.00,3967.00,21910.00,17981.00,699.00,39966.00,176.00,0.00,202.00,486.00,864.00,114.00,66.00,0.00,66.00,380.00,1424.00,0.00,119.00,119.00,0.01,769.00,0.00,1558.00,3870.00,0.00,0.00,6099.00,-228.00,30225.00,0.00,36096.00,0.90,2940.00,1243.00,0.00,-123.00,331.00,-262.00,-210.00,1786.00,0.00,1829.00,7326.00,-1831.00,0.00,-4975.00,0.00,-9104.00,10347.00,0.00,0.00,-350.00,-5913.00,0.00,0.00,0.00,0.00,0.00,0.00,-298.00,992.00,-1831.00,5495.00,0.00,70.93,,6.01,15.27,37.87,28.37,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96978.86,95419.86,0.00,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,-10.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.00
1,FB,A,Dec15,6.28,2.86,2.18,1.29,1.29,1.57,2.73,3.62,0.00,15.60,8.10,0.11,104.66,9.14,1.36,8.25,103.31,14.47,7.84,8.39,84.01,34.72,20.57,43.49,0.01,0.90,0.01,33.70,0.40,0.00,52.10,24.95,0.00,27.15,0.16,0.00,17928.00,2867.00,15061.00,84.01,0.00,4816.00,0.00,6225.00,34.72,-23.00,29.00,-60.00,0.00,6194.00,-2506.00,40.46,3688.00,0.00,3688.00,20.57,1.31,1.29,2853.00,1945.00,8162.00,4907.00,13527.00,18434.00,2559.00,0.00,0.00,2559.00,0.00,0.00,0.00,0.00,0.00,0.00,659.00,21652.00,0.00,596.00,2273.00,3881.00,622.00,7819.00,-2132.00,5687.00,21272.00,18026.00,796.00,49407.00,196.00,0.00,217.00,1248.00,1661.00,208.00,56.00,0.00,56.00,0.00,1925.00,0.00,107.00,107.00,0.01,0.00,0.00,3157.00,5189.00,0.00,0.00,9787.00,-455.00,34886.00,0.00,44218.00,0.90,3688.00,1945.00,0.00,-144.00,548.00,784.00,-795.00,2960.00,0.00,1738.00,10320.00,-2523.00,0.00,-313.00,0.00,-15938.00,9238.00,0.00,0.00,102.00,-9434.00,0.00,0.00,0.00,0.00,0.00,0.00,-139.00,592.00,-2523.00,7797.00,0.00,81.13,66.66,6.71,12.92,38.34,28.91,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,203563.70,201111.70,0.00,0.00,2.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,-1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,-0.00
2,FB,A,Dec16,9.45,5.08,4.28,3.49,3.49,3.79,3.97,5.51,0.00,20.47,13.33,0.00,115.05,19.70,3.51,17.87,140.32,36.33,4.36,6.35,86.29,44.96,36.97,42.03,0.00,0.91,0.00,41.71,0.48,0.00,52.73,29.09,0.00,23.64,0.14,0.00,27638.00,3789.00,23849.00,86.29,0.00,5919.00,0.00,12427.00,44.96,-10.00,166.00,-75.00,0.00,12518.00,-2301.00,18.38,10217.00,0.00,10217.00,36.97,3.56,3.49,2925.00,2342.00,14870.00,8903.00,20546.00,29449.00,3993.00,0.00,0.00,3993.00,0.00,0.00,0.00,0.00,0.00,0.00,959.00,34401.00,0.00,696.00,3109.00,5577.00,1890.00,11803.00,-3212.00,8591.00,20657.00,18122.00,1312.00,64961.00,302.00,155.00,280.00,1806.00,2543.00,0.00,90.00,0.00,90.00,242.00,2875.00,0.00,0.00,0.00,0.00,0.00,0.00,2892.00,5767.00,0.00,0.00,21670.00,-703.00,38227.00,0.00,59194.00,0.91,10217.00,2342.00,0.00,-159.00,1095.00,758.00,-457.00,3218.00,0.00,30.00,16108.00,-4491.00,0.00,-123.00,0.00,-22341.00,15155.00,0.00,0.00,61.00,-11739.00,0.00,0.00,0.00,0.00,0.00,0.00,-310.00,3996.00,-4491.00,11617.00,0.00,32.97,30.36,5.62,8.63,28.98,20.88,12.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,269447.10,265454.10,0.00,0.00,-0.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,-0.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00
3,FB,A,Dec17,13.75,7.99,6.97,5.39,5.39,6.06,5.91,8.19,0.00,25.58,18.67,0.00,176.46,23.84,3.46,21.32,149.92,50.11,5.83,0.00,86.58,49.70,39.20,43.01,0.00,0.88,0.00,47.09,0.54,0.00,52.36,25.43,0.00,26.93,0.13,0.00,40653.00,5454.00,35199.00,86.58,0.00,7754.00,0.00,20203.00,49.70,-6.00,392.00,-1.00,0.00,20594.00,-4660.00,22.63,15934.00,0.00,15934.00,39.20,5.49,5.39,2956.00,3025.00,23625.00,8079.00,33632.00,41711.00,5832.00,0.00,0.00,5832.00,0.00,0.00,0.00,0.00,0.00,0.00,1020.00,48563.00,0.00,798.00,4909.00,8679.00,2992.00,18337.00,-4616.00,13721.00,20105.00,18221.00,2135.00,84524.00,380.00,230.00,390.00,2662.00,3662.00,0.00,98.00,0.00,98.00,0.00,3760.00,0.00,0.00,0.00,0.00,0.00,0.00,6417.00,10177.00,0.00,0.00,33990.00,-227.00,40584.00,0.00,74347.00,0.88,15934.00,3025.00,0.00,-192.00,447.00,1887.00,-377.00,3723.00,0.00,24.00,24216.00,-6733.00,0.00,-122.00,0.00,-25682.00,12432.00,0.00,0.00,67.00,-20038.00,0.00,-1976.00,0.00,0.00,0.00,-3259.00,-5235.00,-824.00,-6733.00,17483.00,0.00,32.74,29.12,6.90,9.45,29.86,21.55,12.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,533791.50,527959.50,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,-0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00
4,FB,A,TTM,13.76,7.99,6.97,5.39,5.39,6.06,5.92,8.20,0.00,25.58,18.67,0.00,157.20,23.88,3.88,21.47,155.89,50.00,6.57,0.00,86.58,49.69,39.20,43.01,0.00,0.88,0.00,47.43,0.55,0.00,52.36,25.43,0.00,26.93,0.13,0.00,40653.00,5455.00,35198.00,86.58,0.00,7754.00,0.00,20202.00,49.69,0.00,392.00,0.00,0.00,20594.00,-4660.00,22.63,15934.00,0.00,15934.00,39.20,5.49,5.39,2962.00,3025.00,23624.00,8079.00,33632.00,41711.00,5832.00,0.00,0.00,5832.00,0.00,0.00,0.00,0.00,0.00,0.00,1020.00,48563.00,0.00,798.00,4909.00,8679.00,2992.00,18337.00,-4616.00,13721.00,20105.00,18221.00,2135.00,84524.00,380.00,230.00,390.00,2662.00,3662.00,0.00,98.00,0.00,98.00,0.00,3760.00,0.00,0.00,0.00,0.00,0.00,0.00,6417.00,10177.00,0.00,0.00,33990.00,-227.00,40584.00,0.00,74347.00,0.88,15934.00,3025.00,0.00,-192.00,447.00,1887.00,-377.00,3723.00,0.00,24.00,24216.00,-6733.00,0.00,-122.00,0.00,-25682.00,12432.00,0.00,0.00,67.00,-20038.00,0.00,-1976.00,0.00,0.00,0.00,-3259.00,-5235.00,-824.00,-6733.00,17483.00,0.00,29.17,25.94,6.15,8.42,26.55,19.17,11.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,475530.00,469698.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,-0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,FB,Q,Dec16,2.99,1.79,1.59,1.21,1.21,3.79,1.24,1.67,0.00,20.47,13.33,0.00,115.05,25.13,4.47,22.91,185.24,49.84,4.36,0.00,88.11,51.84,40.52,41.56,0.00,0.91,0.00,49.82,0.14,0.00,41.36,26.32,0.00,15.04,0.12,0.00,8809.00,1047.00,7762.00,88.11,0.00,1563.00,0.00,4567.00,51.84,0.00,56.00,-90.00,0.00,4533.00,-964.00,21.27,3569.00,0.00,3569.00,40.52,1.24,1.21,2946.00,614.00,5282.00,8903.00,20546.00,29449.00,3993.00,0.00,0.00,3993.00,0.00,0.00,0.00,0.00,0.00,0.00,959.00,34401.00,0.00,696.00,3109.00,5577.00,1890.00,11803.00,-3212.00,8591.00,20657.00,18122.00,1312.00,64961.00,302.00,155.00,280.00,1806.00,2543.00,0.00,90.00,0.00,90.00,242.00,2875.00,0.00,0.00,0.00,0.00,0.00,0.00,2892.00,5767.00,0.00,0.00,21670.00,-703.00,38227.00,0.00,59194.00,0.91,3569.00,614.00,0.00,155.00,454.00,165.00,-256.00,831.00,0.00,7.00,4930.00,-1269.00,0.00,-42.00,0.00,-4973.00,4330.00,0.00,0.00,-21.00,-1975.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2865.00,-1269.00,3661.00,0.00,0.00,30.36,5.62,8.63,92.78,68.89,38.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70640.70,66647.70,0.00,0.00,-1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,-0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00
6,FB,Q,Mar17,2.73,1.36,1.13,1.04,1.04,4.24,1.29,1.72,0.00,21.50,14.42,0.00,142.05,20.16,3.05,18.34,121.95,40.13,5.23,0.00,85.57,41.42,38.15,47.15,0.00,0.91,0.00,41.13,0.12,0.00,38.80,13.38,0.00,25.42,0.14,0.00,8032.00,1159.00,6873.00,85.57,0.00,1834.00,0.00,3327.00,41.42,0.00,67.00,14.00,0.00,3408.00,-344.00,10.09,3064.00,0.00,3064.00,38.15,1.06,1.04,2944.00,671.00,3998.00,7104.00,25202.00,32306.00,3415.00,0.00,0.00,3415.00,0.00,0.00,0.00,0.00,0.00,0.00,1209.00,36930.00,0.00,704.00,3648.00,6336.00,1728.00,13032.00,-3570.00,9462.00,20486.00,18126.00,1836.00,68714.00,170.00,0.00,278.00,2400.00,2848.00,0.00,80.00,0.00,80.00,0.00,2928.00,0.00,0.00,0.00,0.00,0.00,0.00,3598.00,6526.00,0.00,0.00,24175.00,-626.00,38639.00,0.00,62188.00,0.91,3064.00,671.00,0.00,-365.00,48.00,535.00,-84.00,867.00,0.00,5.00,5058.00,-1271.00,0.00,0.00,0.00,-6992.00,2361.00,0.00,0.00,11.00,-5891.00,0.00,-228.00,0.00,0.00,0.00,-764.00,-992.00,-1799.00,-1271.00,3787.00,0.00,0.00,33.50,6.61,9.85,110.12,82.59,52.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95315.55,91900.55,0.00,0.00,2.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,-0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,FB,Q,Jun17,3.16,1.74,1.49,1.32,1.32,4.68,1.33,1.82,0.00,22.92,15.92,0.00,150.98,24.19,3.67,21.85,147.79,50.15,4.99,0.00,86.73,47.22,41.78,42.01,0.00,0.90,0.00,45.37,0.13,0.00,38.15,23.83,0.00,14.32,0.13,0.00,9321.00,1237.00,8084.00,86.73,0.00,1919.00,0.00,4401.00,47.22,0.00,91.00,-4.00,0.00,4488.00,-594.00,13.24,3894.00,0.00,3894.00,41.78,1.34,1.32,2951.00,729.00,5130.00,6252.00,29200.00,35452.00,3897.00,0.00,0.00,3897.00,0.00,0.00,0.00,0.00,0.00,0.00,1455.00,40804.00,0.00,720.00,4013.00,7202.00,1991.00,14668.00,-4040.00,10628.00,20315.00,18129.00,2096.00,73843.00,323.00,0.00,278.00,2626.00,3227.00,0.00,88.00,0.00,88.00,0.00,3315.00,0.00,0.00,0.00,0.00,0.00,0.00,4047.00,7362.00,0.00,0.00,27560.00,-370.00,39291.00,0.00,66481.00,0.90,3895.00,729.00,0.00,-212.00,61.00,-329.00,26.00,1032.00,0.00,7.00,5360.00,-1444.00,0.00,-8.00,0.00,-7145.00,3135.00,0.00,0.00,22.00,-5440.00,0.00,-150.00,0.00,0.00,0.00,-719.00,-869.00,-852.00,-1444.00,3916.00,0.00,0.00,32.26,6.59,9.48,113.52,82.96,47.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110064.42,106167.42,0.00,0.00,3.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,-0.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00
8,FB,Q,Sep17,3.49,1.99,1.73,1.59,1.59,5.23,1.48,2.07,0.00,24.50,17.53,0.00,168.73,27.33,3.97,24.64,149.37,57.61,5.70,0.00,85.98,49.59,45.58,42.33,0.00,0.90,0.00,46.48,0.14,0.00,39.09,24.14,0.00,14.95,0.14,0.00,10328.00,1448.00,8880.00,85.98,0.00,2052.00,0.00,5122.00,49.59,0.00,108.00,6.00,0.00,5236.00,-529.00,10.10,4707.00,0.00,4707.00,45.58,1.62,1.59,2956.00,772.00,5894.00,7201.00,31088.00,38289.00,4424.00,0.00,0.00,4424.00,0.00,0.00,0.00,0.00,0.00,0.00,1490.00,44203.00,0.00,770.00,4623.00,7817.00,2418.00,16446.00,-4288.00,12158.00,20263.00,18213.00,2374.00,78998.00,383.00,0.00,314.00,2503.00,3200.00,0.00,105.00,0.00,105.00,0.00,3305.00,0.00,0.00,0.00,0.00,0.00,0.00,4485.00,7790.00,0.00,0.00,31209.00,-200.00,40199.00,0.00,71208.00,0.90,4706.00,772.00,0.00,-57.00,1.00,-273.00,-94.00,1010.00,0.00,6.00,6127.00,-1755.00,0.00,-98.00,0.00,-6273.00,4381.00,0.00,0.00,31.00,-3714.00,0.00,-640.00,0.00,0.00,0.00,-891.00,-1531.00,949.00,-1755.00,4372.00,0.00,0.00,32.26,6.89,9.63,114.01,81.51,48.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,130259.56,125835.56,0.00,0.00,0.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,-0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,FB,Q,Dec17,4.38,2.90,2.62,1.44,1.44,6.06,1.83,2.59,0.00,25.58,18.67,0.00,176.46,23.46,3.40,20.89,196.30,51.33,5.83,0.00,87.58,56.68,32.91,41.69,0.00,0.88,0.00,55.58,0.16,0.00,41.02,21.52,0.00,19.50,0.12,0.00,12972.00,1611.00,11361.00,87.58,0.00,1949.00,0.00,7352.00,56.68,0.00,126.00,-16.00,0.00,7462.00,-3193.00,42.79,4269.00,0.00,4269.00,32.91,1.47,1.44,2962.00,853.00,8602.00,8079.00,33632.00,41711.00,5832.00,0.00,0.00,5832.00,0.00,0.00,0.00,0.00,0.00,0.00,1020.00,48563.00,0.00,798.00,4909.00,8679.00,2992.00,18337.00,-4616.00,13721.00,20105.00,18221.00,2135.00,84524.00,380.00,230.00,390.00,2662.00,3662.00,0.00,98.00,0.00,98.00,0.00,3760.00,0.00,0.00,0.00,0.00,0.00,0.00,6417.00,10177.00,0.00,0.00,33990.00,-227.00,40584.00,0.00,74347.00,0.88,4269.00,853.00,0.00,442.00,337.00,1954.00,-225.00,814.00,0.00,6.00,7671.00,-2263.00,0.00,-16.00,0.00,-5272.00,2555.00,0.00,0.00,3.00,-4993.00,0.00,-958.00,0.00,0.00,0.00,-885.00,-1843.00,878.00,-2263.00,5408.00,0.00,0.00,29.12,6.90,9.45,96.43,68.13,40.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150520.38,144688.38,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,-0.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00
