,Stock Symbol,Period Type,Fiscal Period,Revenue per Share,EBITDA per Share,EBIT per Share,Earnings per Share (Diluted),EPS without NRI,Owner Earnings per Share (TTM),Free Cash Flow per Share,Operating Cash Flow per Share,Dividends per Share,Book Value per Share,Tangible Book per Share,Total Debt per Share,Month End Stock Price,ROE %,ROE % Adjusted to Book Value,ROA %,ROC (Joel Greenblatt) %,ROIC %,WACC %,Effective Interest Rate on Debt %,Gross Margin %,Operating Margin %,Net Margin %,FCF Margin %,Debt-to-Equity,Equity-to-Asset,Debt-to-Asset,Gross-Profit-to-Asset %,Asset Turnover,Dividend Payout Ratio,Days Sales Outstanding,Days Payable,Days Inventory,Cash Conversion Cycle,Inventory Turnover,COGS-to-Revenue,Inventory-to-Revenue,Revenue,Cost of Goods Sold,Gross Profit,"Selling, General, & Admin. Expense",Advertising,Research & Development,Other Operating Expense,Operating Income,Interest Income,Interest Expense,Net Interest Income,Other Income (Expense),Other Income (Minority Interest),Pre-Tax Income,Tax Provision,Tax Rate %,Net Income (Continuing Operations),Net Income (Discontinued Operations),Net Income,Preferred Dividends,EPS (Basic),EPS (Diluted),Shares Outstanding (Diluted Average),"Depreciation, Depletion and Amortization",EBITDA,Cash And Cash Equivalents,Marketable Securities,"Cash, Cash Equivalents, Marketable Securities",Accounts Receivable,Notes Receivable,Other Current Receivables,Total Receivables,"Inventories, Raw Materials & Components","Inventories, Work In Process","Inventories, Inventories Adjustments","Inventories, Finished Goods","Inventories, Other",Total Inventories,Other Current Assets,Total Current Assets,Investments And Advances,Land And Improvements,Buildings And Improvements,"Machinery, Furniture, Equipment",Construction In Progress,"Gross Property, Plant and Equipment",Accumulated Depreciation,"Property, Plant and Equipment",Intangible Assets,Goodwill,Other Long Term Assets,Total Assets,Accounts Payable,Total Tax Payable,Other Current Payables,Current Accrued Expense,Accounts Payable & Accrued Expense,Current Portion of Long-Term Debt,Current Deferred Revenue,Current Deferred Taxes Liabilities,DeferredTaxAndRevenue,Other Current Liabilities,Total Current Liabilities,Long-Term Debt,Capital Lease Obligation,Long-Term Debt & Capital Lease Obligation,PensionAndRetirementBenefit,NonCurrent Deferred Liabilities,Minority Interest,Other Long-Term Liabilities,Total Liabilities,Common Stock,Preferred Stock,Retained Earnings,Accumulated other comprehensive income (loss),Additional Paid-In Capital,Treasury Stock,Total Equity,Net Foreign Currency Exchange Gain,Net Income From Continuing Operations,Change In Receivables,Change In Inventory,Change In Prepaid Assets,Change In Payables And Accrued Expense,Change In Working Capital,Change In DeferredTax,Stock Based Compensation,Cash Flow from Discontinued Operations,Cash Flow from Others,Cash Flow from Operations,"Purchase Of Property, Plant, Equipment","Sale Of Property, Plant, Equipment",Purchase Of Business,Sale Of Business,Purchase Of Investment,Sale Of Investment,Net Intangibles Purchase And Sale,Cash From Discontinued Investing Activities,Cash From Other Investing Activities,Cash Flow from Investing,Issuance of Stock,Repurchase of Stock,Net Issuance of Preferred Stock,Net Issuance of Debt,Cash Flow for Dividends,Other Financing,Cash Flow from Financing,Net Change in Cash,Capital Expenditure,Free Cash Flow,PE Ratio,Price-to-Owner-Earnings,PB Ratio,Price-to-Tangible-Book,Price-to-Free-Cash-Flow,Price-to-Operating-Cash-Flow,PS Ratio,PEG Ratio,EV-to-Revenue,EV-to-EBITDA,EV-to-EBIT,Earnings Yield (Joel Greenblatt) %,Forward Rate of Return (Yacktman) %,Shiller PE Ratio,Dividend Yield %,Market Cap,Enterprise Value,Net Cash per Share,Net Current Asset Value,Net-Net Working Capital,Intrinsic Value: Projected FCF,Median PS Value,Peter Lynch Fair Value,Graham Number,Earnings Power Value (EPV),Altman Z-Score,Piotroski F-Score,Beneish M-Score,Scaled Net Operating Assets,Sloan Ratio %,Current Ratio,Quick Ratio,Interest Coverage,Highest Stock Price,Lowest Stock Price,Shares Buyback Ratio %,YoY Rev. per Sh. Growth,YoY EPS Growth,YoY EBITDA Growth,5-Year EBITDA Growth Rate,Shares Outstanding (Basic Average),Shares Outstanding (EOP),Beta,Filing Date,Restated Filing Date,Number of Shareholders,Number of Employees,Debt Ratio,Long Term Funds To Fixed Assets,Cash Return
0,FONR,A,Jun14,11.16,2.57,1.94,1.58,1.58,1.42,2.05,2.18,0.00,4.10,2.11,1.84,12.20,49.31,16.60,13.87,73.31,32.07,10.75,6.52,47.66,17.96,15.18,18.33,0.45,0.33,0.15,43.55,0.91,0.00,23.71,25.27,23.01,21.45,15.86,0.52,0.03,68.51,35.86,32.65,18.59,0.00,1.76,-0.00,12.30,0.24,-0.89,-0.65,-0.61,-3.00,11.05,2.35,-21.25,13.40,0.00,10.40,0.68,1.62,1.58,6.10,3.82,15.75,9.95,0.00,9.95,4.45,0.00,24.97,29.42,4.19,0.35,0.00,0.00,-2.09,2.44,1.01,42.82,0.00,0.00,0.94,25.53,0.00,32.68,-17.65,15.03,12.28,1.77,6.66,76.79,2.48,5.04,0.00,0.78,8.30,2.89,6.66,0.00,6.66,3.07,20.92,8.48,0.00,8.48,0.00,0.58,20.60,0.89,51.48,0.00,0.00,-149.26,0.00,175.28,-0.68,25.31,0.00,13.40,-3.95,-0.37,0.05,-0.29,-4.64,-2.68,0.22,0.00,3.28,13.39,-0.62,0.00,0.00,0.00,0.00,0.00,-0.21,0.00,0.00,-0.84,0.00,0.00,0.00,-4.40,0.00,-6.08,-10.48,2.08,-0.84,12.56,7.72,8.59,2.98,5.78,5.95,5.60,1.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.42,72.95,0.00,0.00,-6.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.05,1.93,13.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,2.25,0.16
1,FONR,A,Jun15,11.18,2.76,2.19,1.95,1.95,1.62,2.11,2.15,0.00,6.21,4.48,1.33,10.58,37.90,22.29,16.85,96.81,32.07,26.37,7.18,46.58,18.68,18.70,18.83,0.21,0.50,0.11,41.96,0.90,0.00,20.04,17.63,22.93,25.34,15.91,0.53,0.03,69.05,36.89,32.16,17.45,0.00,1.81,0.00,12.90,0.23,-0.70,-0.70,0.62,-2.52,12.82,2.61,-20.39,15.43,0.00,12.91,0.63,2.00,1.95,6.20,3.54,17.06,9.45,0.00,9.45,3.79,0.00,27.33,31.12,4.09,0.15,0.00,0.00,-2.04,2.19,0.86,43.62,0.00,0.00,0.94,25.60,0.00,31.66,-18.76,12.90,10.72,1.77,9.25,76.49,1.78,5.05,0.00,1.15,7.98,2.49,1.94,0.00,1.94,6.39,18.79,5.70,0.00,5.70,0.00,0.51,12.39,0.71,38.10,0.00,0.00,-136.35,0.00,175.45,-0.68,38.39,0.00,15.43,-4.12,0.25,0.07,-0.70,-5.60,-2.76,0.05,0.00,2.61,13.27,-0.13,0.00,0.00,0.00,0.00,0.00,-0.14,0.00,0.00,-0.27,0.00,0.00,0.00,-2.79,0.00,-10.72,-13.51,-0.50,-0.27,13.00,5.43,6.53,1.70,2.36,5.01,4.92,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.60,61.85,0.00,0.00,-3.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.32,2.20,18.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3.42,0.20
2,FONR,A,Jun16,11.88,2.93,2.39,2.38,2.38,2.86,2.56,2.69,0.00,8.48,6.69,0.73,20.36,32.40,13.50,19.49,107.76,35.00,17.66,4.13,47.02,19.57,21.43,21.52,0.09,0.62,0.05,42.75,0.91,0.00,21.74,11.78,20.03,29.99,18.22,0.53,0.03,73.37,38.87,34.50,18.51,0.00,1.63,-0.00,14.36,0.22,-0.26,-0.26,0.41,-3.07,14.51,4.29,-29.55,18.80,0.00,15.73,0.76,2.43,2.38,6.20,3.30,18.07,8.53,0.00,8.53,4.37,0.00,29.83,34.20,3.73,0.21,0.00,0.00,-1.86,2.07,0.76,45.56,0.00,0.00,0.94,28.14,0.00,35.31,-20.80,14.51,11.04,3.32,13.77,84.89,1.25,4.89,0.00,1.61,7.75,2.45,5.88,0.00,5.88,4.53,20.61,2.06,0.00,2.06,0.00,0.48,8.40,0.96,32.51,0.00,0.00,-120.62,0.00,173.70,-0.68,52.38,0.00,18.80,-3.53,0.12,0.07,-0.52,-0.53,-4.65,0.00,0.00,-0.30,16.62,-0.71,0.00,-4.22,0.00,0.00,0.00,-0.11,0.00,-0.00,-5.05,0.00,0.00,0.00,-3.68,0.00,-8.81,-12.49,-0.92,-0.83,15.79,8.55,7.12,2.40,3.04,7.95,7.57,1.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.23,119.76,0.00,0.00,-3.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.21,2.11,55.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,3.75,0.13
3,FONR,A,Jun17,12.41,3.64,3.08,2.92,2.92,1.80,2.19,2.67,0.00,12.06,10.42,0.08,27.75,28.33,12.32,21.37,124.90,36.00,12.63,1.11,51.24,24.47,25.14,17.69,0.01,0.78,0.01,43.54,0.85,0.00,20.22,13.65,17.74,24.31,20.58,0.49,0.02,78.04,38.05,39.98,19.41,0.00,1.48,0.00,19.10,0.00,-0.03,0.03,0.19,-4.06,19.32,4.36,-22.58,23.68,0.00,19.62,0.92,2.98,2.92,6.30,3.53,22.88,10.14,0.00,10.14,4.32,0.00,36.03,40.36,2.86,0.19,0.00,0.00,-1.43,1.62,1.29,53.41,0.00,0.00,0.94,30.18,0.00,37.72,-21.25,16.46,10.57,3.93,18.31,98.76,1.42,4.58,0.00,0.73,6.73,0.18,5.43,0.00,5.43,1.89,14.24,0.34,0.00,0.34,0.00,0.33,5.47,0.95,21.33,0.00,0.00,-101.00,0.00,179.13,-0.68,77.44,0.00,23.68,-5.89,0.45,-0.51,0.15,-10.55,-4.97,2.40,0.00,2.72,16.81,-2.85,0.00,-1.31,0.00,0.00,0.00,-0.16,0.00,-0.00,-4.32,0.00,0.00,0.00,-3.99,0.00,-6.89,-10.88,1.61,-3.01,13.80,9.50,15.42,2.30,2.66,12.67,10.39,2.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.82,165.02,0.00,0.00,-1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.75,3.64,636.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,4.73,0.08
4,FONR,A,TTM,12.63,3.83,3.23,2.90,2.90,2.32,2.47,2.99,0.00,13.32,11.75,0.07,29.00,24.61,11.29,20.31,128.41,33.01,6.30,-6.14,50.29,25.28,24.52,19.54,0.01,0.81,0.00,41.66,0.83,0.00,19.17,12.47,19.02,25.72,19.19,0.50,0.03,80.40,39.97,40.43,18.64,0.00,1.46,0.00,20.33,0.00,0.06,0.11,0.19,-4.37,20.64,3.45,-16.71,24.09,0.00,19.72,0.37,2.96,2.90,6.40,3.77,24.35,14.19,0.00,14.19,4.22,0.00,38.77,42.99,2.93,0.23,0.00,0.00,-1.47,1.70,1.37,60.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.99,10.06,3.99,17.89,105.18,1.37,4.49,-0.00,0.37,6.23,0.10,5.47,0.00,5.47,1.80,13.60,0.32,0.00,0.32,0.00,0.33,4.65,0.94,19.83,0.00,0.00,-93.10,0.00,179.13,-0.68,85.35,0.00,24.09,-4.69,1.04,-0.41,-0.11,-7.13,0.00,2.39,0.00,-4.06,19.03,-3.21,0.00,0.00,0.00,0.00,0.00,-0.11,0.00,-1.31,-4.63,0.00,0.00,0.00,-1.67,0.00,-6.23,-7.90,6.50,-3.32,15.71,10.00,12.50,2.18,2.47,11.74,9.70,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.60,171.73,0.00,0.00,-0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.43,4.31,-338.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,5.04,0.09
5,FONR,Q,Dec16,2.93,0.88,0.74,0.63,0.63,2.34,0.37,0.53,0.00,9.93,8.26,0.33,19.15,26.33,13.64,19.46,126.42,31.92,13.48,11.37,49.12,25.04,23.05,12.73,0.03,0.71,0.02,41.46,0.21,0.00,21.45,14.32,24.11,31.24,3.78,0.51,0.13,18.40,9.36,9.04,4.07,0.00,0.36,-0.00,4.61,0.00,-0.08,-0.08,0.05,-0.69,4.58,0.35,-7.71,4.93,0.00,4.24,0.20,0.64,0.63,6.30,0.86,5.52,7.69,0.00,7.69,4.33,0.00,32.77,37.09,4.94,0.26,0.00,0.00,-2.47,2.74,0.93,48.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.91,10.52,3.32,14.40,88.29,1.47,2.34,0.00,4.38,8.20,1.67,6.02,0.00,6.02,1.38,17.27,0.41,0.00,0.41,0.00,0.48,6.55,1.11,25.82,0.00,0.00,-112.81,0.00,175.97,-0.68,62.46,0.00,4.93,-1.03,-0.52,-0.20,0.16,-1.68,0.00,0.02,0.00,-0.83,3.30,-0.91,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,-0.96,0.00,0.00,0.00,-1.01,0.00,-1.63,-2.64,-0.30,-0.96,2.34,0.00,8.18,1.93,2.32,51.76,36.13,6.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120.64,113.36,0.00,0.00,-2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.81,2.65,57.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,4.22,0.02
6,FONR,Q,Mar17,3.18,1.10,0.96,0.88,0.88,2.41,0.39,0.44,0.00,10.93,9.31,0.17,17.55,33.59,20.86,26.21,160.26,43.26,11.49,17.47,54.06,30.00,29.49,12.39,0.02,0.75,0.01,48.05,0.22,0.00,16.48,11.75,26.83,31.56,3.40,0.46,0.14,20.01,9.19,10.82,4.48,0.00,0.33,0.00,6.00,0.00,-0.07,-0.07,0.05,-1.22,5.98,1.14,-19.06,7.12,0.00,5.90,0.00,0.90,0.88,6.30,0.87,6.92,7.75,0.00,7.75,3.61,0.00,35.75,39.36,4.78,0.28,0.00,0.00,-2.39,2.67,1.06,50.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.29,10.24,3.32,15.45,91.82,1.18,2.29,0.00,3.51,6.98,0.73,5.06,0.00,5.06,1.69,14.45,0.35,0.00,0.35,0.00,0.48,6.27,1.12,22.67,0.00,0.00,-106.91,0.00,176.76,-0.68,69.16,0.00,7.12,-1.78,0.07,-0.10,-0.27,-4.28,0.00,0.00,0.00,-0.94,2.77,-0.27,0.00,0.00,0.00,0.00,0.00,-0.03,0.00,0.00,-0.29,0.00,0.00,0.00,-1.01,0.00,-1.41,-2.42,0.06,-0.29,2.48,0.00,7.28,1.61,1.89,45.00,39.89,5.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,110.56,103.16,0.00,0.00,-1.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.52,3.33,85.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,4.55,0.02
7,FONR,Q,Jun17,3.29,0.75,0.61,0.87,0.87,1.80,0.99,1.16,0.00,12.06,10.42,0.08,27.75,30.28,13.17,24.80,96.67,36.94,12.63,-108.54,52.17,17.86,28.28,30.01,0.01,0.78,0.01,45.74,0.22,0.00,18.88,13.00,19.61,25.49,4.65,0.48,0.10,20.89,9.99,10.90,6.79,0.00,0.38,0.00,3.73,0.00,0.22,0.27,0.05,-1.21,4.05,3.07,-75.74,7.12,0.00,5.91,0.00,0.89,0.87,6.30,0.95,4.78,10.14,0.00,10.14,4.32,0.00,36.03,40.36,2.86,0.19,0.00,0.00,-1.43,1.62,1.29,53.41,0.00,0.00,0.94,30.18,0.00,37.72,-21.25,16.46,10.57,3.93,18.31,98.76,1.42,4.58,0.00,0.73,6.73,0.18,5.43,0.00,5.43,1.89,14.24,0.34,0.00,0.34,0.00,0.33,5.47,0.95,21.33,0.00,0.00,-101.00,0.00,179.13,-0.68,77.44,0.00,7.12,-1.42,1.05,-0.24,0.22,-0.51,0.00,2.37,0.00,-2.56,7.38,-1.08,0.00,0.00,0.00,0.00,0.00,-0.03,0.00,-1.31,-2.42,0.00,0.00,0.00,-0.56,0.00,-2.01,-2.57,2.39,-1.11,6.27,0.00,15.42,2.30,2.66,28.03,23.92,8.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.82,165.02,0.00,0.00,-1.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.75,3.64,-16.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,4.73,0.04
8,FONR,Q,Sep17,3.01,0.90,0.75,0.54,0.54,2.19,0.48,0.58,0.00,12.64,11.03,0.07,30.60,17.58,7.26,14.88,117.28,24.83,10.42,34.96,47.66,24.75,19.24,15.75,0.01,0.80,0.01,36.86,0.19,0.00,21.30,14.48,14.93,21.75,6.11,0.52,0.09,19.33,10.12,9.22,4.08,0.00,0.35,-0.00,4.79,0.00,-0.04,-0.04,0.04,-0.88,4.79,-0.19,3.87,4.60,0.00,3.72,0.17,0.55,0.54,6.40,0.96,5.79,11.34,0.00,11.34,4.51,0.00,37.30,41.82,2.86,0.26,0.00,0.00,-1.43,1.69,1.23,56.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.48,10.35,3.99,18.32,101.22,1.61,4.55,0.08,0.24,6.48,0.14,5.39,0.00,5.39,1.85,13.86,0.33,0.00,0.33,0.00,0.33,4.62,0.92,20.06,0.00,0.00,-97.28,0.00,179.13,-0.68,81.16,0.00,4.60,-1.30,-0.06,0.07,0.18,-1.66,0.00,0.00,0.00,-0.16,3.74,-0.67,0.00,0.00,0.00,0.00,0.00,-0.03,0.00,0.00,-0.70,0.00,0.00,0.00,-0.05,0.00,-1.80,-1.85,1.20,-0.70,3.05,0.00,13.97,2.42,2.77,63.75,52.76,10.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195.84,184.83,0.00,0.00,-0.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.05,3.92,119.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,4.94,0.02
9,FONR,Q,Dec17,3.14,1.07,0.91,0.61,0.61,2.32,0.61,0.80,0.00,13.32,11.75,0.07,24.35,18.86,10.31,16.24,140.16,27.71,9.02,43.39,47.12,28.81,20.77,19.45,0.01,0.81,0.00,36.83,0.20,0.00,19.10,11.68,14.48,21.90,6.30,0.53,0.08,20.17,10.67,9.50,3.29,0.00,0.41,0.00,5.81,0.00,-0.05,-0.05,0.05,-1.05,5.82,-0.58,9.89,5.24,0.00,4.19,0.20,0.62,0.61,6.40,1.00,6.86,14.19,0.00,14.19,4.22,0.00,38.77,42.99,2.93,0.23,0.00,0.00,-1.47,1.70,1.37,60.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.99,10.06,3.99,17.89,105.18,1.37,4.49,-0.00,0.37,6.23,0.10,5.47,0.00,5.47,1.80,13.60,0.32,0.00,0.32,0.00,0.33,4.65,0.94,19.83,0.00,0.00,-93.10,0.00,179.13,-0.68,85.35,0.00,5.24,-0.20,-0.01,-0.14,-0.24,-0.70,0.00,0.00,0.00,-0.40,5.14,-1.20,0.00,0.00,0.00,0.00,0.00,-0.02,0.00,0.00,-1.22,0.00,0.00,0.00,-0.05,0.00,-1.02,-1.07,2.86,-1.22,3.92,0.00,10.50,1.83,2.07,39.92,30.44,7.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,155.84,141.97,0.00,0.00,-0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.43,4.31,116.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,5.04,0.03
