,date,level,shares,people,shares_per_people,proportion
1,2018-01-19,1.0,1-999,146040,31902799,0.11999999731779099
2,2018-01-19,2.0,"1,000-5,000",118822,246379122,0.949999988079071
3,2018-01-19,3.0,"5,001-10,000",21759,155701044,0.6000000238418579
4,2018-01-19,4.0,"10,001-15,000",8414,102449340,0.38999998569488525
5,2018-01-19,5.0,"15,001-20,000",3881,68195647,0.25999999046325684
6,2018-01-19,6.0,"20,001-30,000",4264,103785851,0.4000000059604645
7,2018-01-19,7.0,"30,001-40,000",2072,71558274,0.27000001072883606
8,2018-01-19,8.0,"40,001-50,000",1344,60516875,0.23000000417232513
9,2018-01-19,9.0,"50,001-100,000",2576,180470269,0.6899999976158142
10,2018-01-19,10.0,"100,001-200,000",1487,208464484,0.800000011920929
11,2018-01-19,11.0,"200,001-400,000",987,276780541,1.059999942779541
12,2018-01-19,12.0,"400,001-600,000",413,201245538,0.7699999809265137
13,2018-01-19,13.0,"600,001-800,000",251,174286655,0.6700000166893005
14,2018-01-19,14.0,"800,001-1,000,000",196,175190021,0.6700000166893005
15,2018-01-19,15.0,"1,000,001以上",1429,23873453998,92.05999755859375
18,2018-01-12,1.0,1-999,145546,31784156,0.11999999731779099
19,2018-01-12,2.0,"1,000-5,000",123851,255784125,0.9800000190734863
20,2018-01-12,3.0,"5,001-10,000",22273,159609421,0.6100000143051147
21,2018-01-12,4.0,"10,001-15,000",8582,104521203,0.4000000059604645
22,2018-01-12,5.0,"15,001-20,000",3993,70218980,0.27000001072883606
23,2018-01-12,6.0,"20,001-30,000",4339,105614271,0.4000000059604645
24,2018-01-12,7.0,"30,001-40,000",2123,73450301,0.2800000011920929
25,2018-01-12,8.0,"40,001-50,000",1356,61016912,0.23000000417232513
26,2018-01-12,9.0,"50,001-100,000",2622,183892553,0.699999988079071
27,2018-01-12,10.0,"100,001-200,000",1497,209417690,0.800000011920929
28,2018-01-12,11.0,"200,001-400,000",1001,281887813,1.0800000429153442
29,2018-01-12,12.0,"400,001-600,000",411,200413282,0.7699999809265137
30,2018-01-12,13.0,"600,001-800,000",243,168772864,0.6499999761581421
31,2018-01-12,14.0,"800,001-1,000,000",207,185466606,0.7099999785423279
32,2018-01-12,15.0,"1,000,001以上",1420,23838530281,91.93000030517578
35,2018-01-05,1.0,1-999,145571,31794194,0.11999999731779099
36,2018-01-05,2.0,"1,000-5,000",125400,258455605,0.9900000095367432
37,2018-01-05,3.0,"5,001-10,000",22420,160776582,0.6200000047683716
38,2018-01-05,4.0,"10,001-15,000",8587,104568599,0.4000000059604645
39,2018-01-05,5.0,"15,001-20,000",4010,70511054,0.27000001072883606
40,2018-01-05,6.0,"20,001-30,000",4362,106265579,0.4000000059604645
41,2018-01-05,7.0,"30,001-40,000",2115,73225799,0.2800000011920929
42,2018-01-05,8.0,"40,001-50,000",1356,60949800,0.23000000417232513
43,2018-01-05,9.0,"50,001-100,000",2623,183741362,0.699999988079071
44,2018-01-05,10.0,"100,001-200,000",1495,209492760,0.800000011920929
45,2018-01-05,11.0,"200,001-400,000",988,279364197,1.0700000524520874
46,2018-01-05,12.0,"400,001-600,000",412,201012634,0.7699999809265137
47,2018-01-05,13.0,"600,001-800,000",247,171270338,0.6600000262260437
48,2018-01-05,14.0,"800,001-1,000,000",203,181245242,0.6899999976158142
49,2018-01-05,15.0,"1,000,001以上",1419,23837706713,91.91999816894531
52,2017-12-29,1.0,1-999,145462,31764083,0.11999999731779099
53,2017-12-29,2.0,"1,000-5,000",127981,263456798,1.0099999904632568
54,2017-12-29,3.0,"5,001-10,000",22699,162756525,0.6200000047683716
55,2017-12-29,4.0,"10,001-15,000",8666,105613061,0.4000000059604645
56,2017-12-29,5.0,"15,001-20,000",4043,71111767,0.27000001072883606
57,2017-12-29,6.0,"20,001-30,000",4415,107530811,0.4099999964237213
58,2017-12-29,7.0,"30,001-40,000",2129,73646263,0.2800000011920929
59,2017-12-29,8.0,"40,001-50,000",1363,61300073,0.23000000417232513
60,2017-12-29,9.0,"50,001-100,000",2630,184134092,0.7099999785423279
61,2017-12-29,10.0,"100,001-200,000",1508,210968752,0.8100000023841858
62,2017-12-29,11.0,"200,001-400,000",990,279794954,1.0700000524520874
63,2017-12-29,12.0,"400,001-600,000",409,199722960,0.7699999809265137
64,2017-12-29,13.0,"600,001-800,000",250,173777274,0.6700000166893005
65,2017-12-29,14.0,"800,001-1,000,000",205,183232128,0.699999988079071
66,2017-12-29,15.0,"1,000,001以上",1414,23821570917,91.86000061035156
69,2017-12-22,1.0,1-999,145485,31776499,0.11999999731779099
70,2017-12-22,2.0,"1,000-5,000",128124,263854149,1.0099999904632568
71,2017-12-22,3.0,"5,001-10,000",22655,162459993,0.6200000047683716
72,2017-12-22,4.0,"10,001-15,000",8688,105853671,0.4000000059604645
73,2017-12-22,5.0,"15,001-20,000",4032,70892428,0.27000001072883606
74,2017-12-22,6.0,"20,001-30,000",4428,107865619,0.4099999964237213
75,2017-12-22,7.0,"30,001-40,000",2117,73220035,0.2800000011920929
